species,keep,BirdNET_code,intercept.c,beta.c,intercept.r,beta.r,cutoff85.r,cutoff90.r,cutoff95.r,cutoff975.r,cutoff99.r,cutoff90.r_conf,cutoff95.r_conf,cutoff99.r_conf
Nashville Warbler,1,111,-3.430990821,0.007809747,0.402168281,1.213730229,1.097799777,1.478958218,2.094592881,2.687082588,3.454599274,0.814415174,0.890376524,0.969368005
Northern Flicker,1,59,-0.887670627,0.005168501,1.538765829,0.882991434,0.2217861,0.745713631,1.591944266,2.406360623,3.461363162,0.678244004,0.830889472,0.969568214
Nuttall's Woodpecker,1,71,-8.612659258,0.011104036,-2.558693574,1.376609027,3.118746533,3.454806746,3.997600224,4.519987229,5.196692224,0.969374165,0.981971354,0.994495624
Oak Titmouse,1,25,-2.006069401,0.005893693,0.753348982,0.982952354,0.998270231,1.468917175,2.229090747,2.96068538,3.908399886,0.812892746,0.902831622,0.980322387
Olive-sided Flycatcher,1,64,-0.251025677,0.0080727,3.702465984,1.60047522,-1.229550389,-0.94049654,-0.473626205,-0.024307991,0.55774301,0.280800055,0.383758329,0.635930156
Orange-crowned Warbler,1,109,-6.377219154,0.010028562,-1.465482345,1.592135793,2.009931197,2.300499077,2.769814826,3.221486518,3.806586236,0.908918364,0.94102271,0.978259248
Osprey,0,135,-7.531490548,0.010698839,-2.095341912,1.480222741,2.587409895,2.899946319,3.404744942,3.89056552,4.519902023,0.947843783,0.967852498,0.989227226
Pacific-slope Flycatcher,1,77,-2.050271455,0.007116342,1.375261284,1.370632944,0.26217068,0.599696145,1.144856252,1.669520912,2.349176401,0.645586786,0.758570137,0.912868741
Pacific Wren,1,224,-1.077017144,0.006184794,1.84258342,1.125752619,-0.095920154,0.315025833,0.97877237,1.61756517,2.445063315,0.578111534,0.72686456,0.92019969
Phainopepla,1,146,-2.186782362,0.007414347,1.359262105,1.41647489,0.264981013,0.591583006,1.119099877,1.626784603,2.284444129,0.643728278,0.753821715,0.907580488
Pileated Woodpecker,1,75,-5.267809184,0.009592453,-0.518022631,1.775780029,1.26852631,1.529044794,1.949825741,2.35478731,2.879378301,0.821866513,0.875427639,0.946817567
Pine Siskin,1,197,-0.45854158,0.004350744,1.629148525,0.830237828,0.127014846,0.684232919,1.584233349,2.45039801,3.572435785,0.664682785,0.829803228,0.972679991
Plumbeous Vireo,1,233,-4.7609265,0.018200074,3.863482766,3.572189062,-0.595959977,-0.466452968,-0.257277476,-0.055965996,0.204814771,0.385456121,0.436033082,0.551025445
Purple Finch,1,96,-4.740101179,0.011121983,0.732770641,2.370978353,0.422538828,0.617658079,0.932808321,1.236110402,1.629010743,0.649685728,0.717644686,0.836034075
Pygmy Nuthatch,1,192,-3.413694293,0.00707303,-0.007846899,1.183416695,1.472387505,1.863309421,2.494713731,3.102380219,3.88955705,0.865682222,0.923770401,0.979955592
Red-breasted Nuthatch,1,190,-6.208752506,0.014572923,0.995370605,3.143132514,0.235189082,0.382374579,0.620103787,0.848895498,1.145274413,0.594445695,0.650242153,0.758646711
Red-breasted Sapsucker,1,194,-0.34427523,0.006265178,2.793839107,1.338780221,-0.79119637,-0.445640383,0.112490362,0.649638025,1.345464113,0.390397803,0.528092973,0.793387077
Red-naped Sapsucker,1,193,-2.550132218,0.013614784,3.747288659,2.470166457,-0.814798371,-0.627514019,-0.325018453,-0.033895292,0.343228364,0.34807444,0.419453202,0.584974517
Red-shouldered Hawk,0,33,-9.575996091,0.014418838,-1.830248867,2.177174487,1.63737447,1.849862502,2.19306623,2.523367119,2.951241967,0.864110958,0.899625126,0.950322154
Red-tailed Hawk,0,31,-3.009424756,0.00680402,0.163546656,1.191497798,1.318554178,1.706824742,2.333946674,2.937491782,3.719329739,0.846423985,0.911649737,0.976323933
Red Crossbill,1,114,-6.750416336,0.012017656,-0.94458608,2.228179774,1.202410671,1.410034637,1.745382085,2.068122052,2.486202413,0.803771407,0.851369401,0.92316888
Rock Wren,1,176,-3.739038565,0.007033121,-0.431229542,1.11911198,1.935311779,2.348696258,3.016381365,3.658964663,4.491373055,0.912830543,0.95330872,0.988918918
Rufous-crowned Sparrow,1,7,-7.106931449,0.010841327,-1.596288697,1.623211015,2.052037425,2.33704259,2.797373622,3.24039838,3.814296779,0.911898778,0.942533734,0.978422633
Song Sparrow,1,123,-4.641644277,0.007751904,-0.980433295,1.390530066,1.952517545,2.285213352,2.822572752,3.339729975,4.009660261,0.907644989,0.943883494,0.982183624
Sooty Grouse,1,69,-5.741752645,0.006234103,-1.843459094,0.528243025,6.773511395,7.649289209,9.063816929,10.42516508,12.18866817,0.999523844,0.999884233,0.999994912
Spotted Towhee,1,157,0.029181864,0.003909383,1.852127566,0.727291791,-0.161594717,0.474495952,1.501888825,2.490656574,3.77151553,0.616447334,0.817856019,0.977500716
Steller's Jay,1,68,-1.751591267,0.007313354,1.683000149,1.337622161,0.038576594,0.38443175,0.943045702,1.480658406,2.177086913,0.594941541,0.719714464,0.898172955
Swainson's Thrush,1,46,-1.005746409,0.008388632,2.912679372,1.530218467,-0.769875898,-0.467550752,0.020754949,0.490702661,1.099477306,0.385196111,0.505188551,0.750162156
Townsend's Solitaire,1,129,-2.049570766,0.007594225,1.598645139,1.488617028,0.091330352,0.402104388,0.90405646,1.387137503,2.012925189,0.599193157,0.711782393,0.882147475
Tree Swallow,1,217,-4.019024825,0.005894379,-1.083238458,0.85032574,3.313835369,3.857889842,4.736628855,5.582331428,6.677862423,0.979324018,0.991308057,0.998743117
Vaux's Swift,1,49,-4.066110853,0.007084704,-0.617209688,1.12127085,2.097451069,2.510039626,3.176439187,3.817785269,4.648590961,0.924842645,0.959937952,0.990515729
Violet-green Swallow,1,218,-4.193387804,0.010332401,0.848478778,2.10708126,0.4205449,0.640101464,0.994722055,1.336010586,1.778118929,0.654776396,0.730019607,0.855464436
Warbling Vireo,1,231,-2.11296355,0.006473953,0.910725424,1.12800145,0.73038526,1.140511968,1.802935232,2.440454508,3.266302918,0.757773625,0.858505864,0.963254537
Western Bluebird,1,189,-5.1332453,0.011057278,0.317498231,2.259993447,0.627038466,0.831739733,1.162366533,1.480563326,1.892758417,0.696722661,0.76176246,0.869069724
Western Kingbird,1,226,-6.359694413,0.012556286,-0.212953939,2.621245155,0.742988496,0.919478482,1.204539344,1.478883262,1.834270931,0.714935831,0.769331323,0.862269731
Western Tanager,1,159,-0.175368625,0.004234241,1.785673389,0.738808748,-0.069127949,0.557046989,1.568424296,2.54177859,3.802670813,0.635768996,0.827558863,0.978175818
Western Wood-Pewee,1,65,1.333721676,0.003434402,2.932830429,0.646714552,-1.852794823,-1.137450595,0.017950036,1.129913057,2.570360316,0.242788742,0.504487389,0.928929487
White-breasted Nuthatch,1,191,-2.00197492,0.010514622,2.930659433,1.923088414,-0.62194664,-0.381383846,0.007165321,0.381106874,0.865514245,0.405793174,0.501791323,0.703811449
White-headed Woodpecker,1,70,-3.279135587,0.010705025,1.935228199,2.214279072,-0.090606079,0.1183213,0.455773978,0.780540027,1.201244994,0.529545863,0.612011169,0.768746187
White-throated Swift,1,4,-3.333498773,0.007531916,0.134643784,1.326987669,1.205706209,1.554333052,2.117423742,2.65934488,3.361354571,0.825538678,0.892585176,0.966474694
Wild Turkey,1,120,-94.6267453,0.096706288,-9.069611755,2.351665765,4.594280773,4.791002403,5.108740754,5.414533642,5.810660599,0.991764262,0.993992618,0.997013495
Williamson's Sapsucker,1,195,-4.266997959,0.011918832,1.564073316,2.496703348,0.068301162,0.25359491,0.55287532,0.840904199,1.214019494,0.563061132,0.63480243,0.771009379
Wilson's Warbler,1,42,-4.042153031,0.01001134,0.905377437,2.112662431,0.392501711,0.611478256,0.965162021,1.305548945,1.746489339,0.648277939,0.724154136,0.851509458
Woodhouse's Scrub-Jay,1,16,-1.184840469,0.006019184,1.666526677,1.128531365,0.060321211,0.47025534,1.132367555,1.769587476,2.595048099,0.61544419,0.756275558,0.930542203
Wrentit,1,50,-1.270267573,0.005485985,1.233397425,0.843158305,0.594435977,1.143115293,2.029324203,2.882215841,3.987059615,0.758251151,0.883841715,0.981783796
Yellow-breasted Chat,1,99,-4.45319367,0.007430578,-0.904494443,1.107356362,2.383239569,2.801012508,3.475785713,4.125190631,4.966435813,0.942730514,0.969990891,0.993080277
Yellow-rumped Warbler,1,183,-2.97502155,0.006633783,0.223314098,1.055139216,1.432310481,1.870758333,2.578924981,3.260467906,4.143344961,0.866545998,0.929492849,0.984378233
Yellow Warbler,1,186,-4.303168576,0.010178745,0.57043472,1.82875089,0.636590988,0.889563399,1.298156174,1.69138779,2.200783689,0.708800065,0.785524507,0.900319864
